"otu_id"	"error_autoencoder"	"error_defaultpredictor"	"better_than_default"
"4479944"	"54.2305640036339"	"71.4819604295526"	"1"
"513055"	"90.5171769729037"	"93.6939478153716"	"1"
"519510"	"48.3596322143165"	"67.2900413671998"	"1"
"810959"	"82.6606180556327"	"87.0235377767962"	"1"
"849092"	"45.6850376579585"	"67.6850394896578"	"1"
"1042671"	"87.8662817345979"	"90.450022228824"	"1"
"818174"	"66.7739055954038"	"81.0338938704601"	"1"
"585221"	"100"	"100"	"0"
"1033380"	"99.844879284149"	"99.9970094718282"	"1"
"875704"	"61.662925250748"	"70.6262640369205"	"1"
"112952"	"54.2979222763694"	"67.8143082829666"	"1"
"760955"	"98.8569109791094"	"99.6796583139763"	"1"
"683649"	"95.2977071534344"	"96.4276468857271"	"1"
"4337833"	"44.6463091527169"	"61.9083453287284"	"1"
"146122"	"38.7413481779666"	"60.9434981074535"	"1"
"590601"	"91.2049824396424"	"92.4561775628928"	"1"
"588630"	"38.4752112402476"	"62.4045612332914"	"1"
"255750"	"98.0428107699774"	"99.6186778171883"	"1"
"541155"	"46.1306979245925"	"69.6360164062173"	"1"
"736463"	"99.6359057530563"	"99.9653378332812"	"1"
"761601"	"44.0457245574914"	"67.5155002536037"	"1"
"529067"	"48.5036751422225"	"64.1556307299037"	"1"
"107036"	"90.8994401290374"	"94.4542617218994"	"1"
"570086"	"57.051594741202"	"65.884677200883"	"1"
"1000876"	"39.8297181078472"	"60.6141949343122"	"1"
"1132235"	"79.9079965215047"	"85.5010474571452"	"1"
"740154"	"54.2328342002635"	"61.4041417183581"	"1"
"943138"	"53.8546154882898"	"74.1993236367867"	"1"
"544711"	"41.7570596968619"	"60.8969245113457"	"1"
"4346961"	"67.8447180469948"	"75.8118943641854"	"1"
"912372"	"78.6367407731885"	"79.9962815755695"	"1"
"1019914"	"50.1755059991133"	"66.3643959606697"	"1"
"811187"	"49.2051967538899"	"65.433952950112"	"1"
"540592"	"40.9761162367224"	"64.6504765500333"	"1"
"939101"	"49.0125650544967"	"61.6064477581251"	"1"
"1038987"	"66.505714575544"	"75.8321850141663"	"1"
"107428"	"55.52522909636"	"68.4802896263412"	"1"
"811435"	"56.0650789386128"	"71.2482399462952"	"1"
"775560"	"60.7863379819928"	"75.3248352001994"	"1"
"743788"	"79.6506467380614"	"81.2680369023528"	"1"
"589500"	"54.4068156414375"	"72.5469604348662"	"1"
"578951"	"51.8011792263342"	"66.809341472054"	"1"
"206278"	"70.7909945646461"	"79.1573493026099"	"1"
"214676"	"50.9580072456648"	"67.1303423828583"	"1"
"244063"	"36.8888318403241"	"62.3574234037801"	"1"
"4402900"	"44.9462612099155"	"64.6528122725045"	"1"
"221791"	"56.3842842041794"	"69.9748323032902"	"1"
"1107738"	"94.2380603125096"	"97.6749673121778"	"1"
"1897510"	"46.2764531598415"	"61.8323471392055"	"1"
"691349"	"70.9540845220669"	"79.0929912002554"	"1"
"735782"	"55.3573525065631"	"73.3478011323517"	"1"
"255838"	"39.2078333958664"	"64.1504348787231"	"1"
"878663"	"88.3281525591242"	"91.3882577556356"	"1"
"215003"	"79.3647475281971"	"85.6684061061165"	"1"
