"sample_id"	"error_autoencoder"	"error_defaultpredictor"	"better_than_default"
"11116.L25A089.1197223"	"2.67782651509859e-06"	"0.00091176206798018"	"1"
"11116.I24A071.1194311"	"0.00287942305489639"	"0.00410174313732907"	"1"
"11116.I18A067.1196036"	"0.000413260291826117"	"0.00105696165343935"	"1"
"11116.A04C064.1194508"	"0.00274408479857696"	"0.00676465854187914"	"1"
"11116.L31A082.1195061"	"9.4741681646804e-06"	"0.00072542560476923"	"1"
"11116.I19A089.1193844"	"0.000100892641676603"	"0.000631989337984346"	"1"
"11116.L30A118.1194460"	"0.00142353060008493"	"0.00260344352526445"	"1"
"11116.I26A119.1197623"	"1.61024669279614e-05"	"0.0019352170255468"	"1"
"11116.L05A089.1196325"	"0.000134967900694967"	"0.000757749570750259"	"1"
"11116.C23A62.1195916"	"2.97394872719351e-05"	"0.000763120373935294"	"1"
"11116.C20A65.1197321"	"0.00152987737596822"	"0.00330374554917083"	"1"
"11116.A09C070.1197773"	"0.00131192368358754"	"0.00579197584534532"	"1"
"11116.I21A082.1197047"	"6.21457022714709e-05"	"0.000476500946104938"	"1"
"11116.I23A119.1193827"	"0.00029324384775104"	"0.00173419519108159"	"1"
"11116.A13C070.1193831"	"0.00110732466400674"	"0.0072892798275245"	"1"
"11116.L28A118.1198227"	"9.13933653803338e-05"	"0.00128876007582498"	"1"
"11116.A15A070.1195223"	"0.000513885395962612"	"0.00139833428887742"	"1"
"11116.A06B103.1194143"	"0.000307951237087385"	"0.00142364489317902"	"1"
"11116.A30B073.1196352"	"0.000721862982664207"	"0.0048610734258522"	"1"
"11116.I18A070.1196334"	"0.00143870578395861"	"0.00558419217202154"	"1"
"11116.A28A094.1197280"	"4.99420909152084e-06"	"0.0013577790259705"	"1"
"11116.C04A66.1196722"	"0.00157934712236313"	"0.00790296743357123"	"1"
"11116.A13D118.1194765"	"5.86572560332279e-05"	"0.00104350307979901"	"1"
"11116.A03D067.1196832"	"0.000643289606410868"	"0.00326171679254424"	"1"
"11116.A20A100.1195711"	"3.95450302472101e-05"	"0.000948026634691917"	"1"
"11116.L30A103.1197277"	"3.70176854246561e-05"	"0.000739677964789675"	"1"
"11116.I25A083.1194592"	"0.00170999233778141"	"0.0020950520720689"	"1"
"11116.L13A080.1198400"	"0.00142957417205472"	"0.00548728233817318"	"1"
"11116.I09A100.1195709"	"2.32391411223447e-05"	"0.00166090931209436"	"1"
"11116.L18A076.1198454"	"0.000345816775011213"	"0.00117085098760658"	"1"
"11116.A19D091.1195275"	"5.19258742489151e-06"	"0.00165244086114254"	"1"
"11116.L29A065.1196335"	"0.00328713706840563"	"0.0101327409293141"	"1"
"11116.A02C118.1196692"	"0.000155636215838805"	"0.00142086119029929"	"1"
"11116.L03A118.1195904"	"0.000126385570638724"	"0.000724909271199278"	"1"
"11116.A21C061.1194100"	"0.000651932885906983"	"0.00839751936375111"	"1"
"11116.L25A084.1195344"	"0.00189860876373588"	"0.00261705185669943"	"1"
"11116.L30A082.1197831"	"8.27778135021948e-06"	"0.000881485419763099"	"1"
"11116.L30A099.1197692"	"7.18606776912345e-06"	"0.000955958012098552"	"1"
"11116.I20A074.1195932"	"0.00115134938585198"	"0.00417719539315992"	"1"
"11116.L04A074.1196874"	"0.00158906539906497"	"0.00252679904061143"	"1"
