"Model"	"train_mse"	"test_mse"	"n_iter"	"train_smape"	"test_smape"
"10-1"	0.00280178250236	0.00288458295968	10000	76.7856101627872	76.6844589733275
"20-1"	0.0028017825197	0.00288458295968	10000	76.7856024955682	76.6844500968233
"50-1"	0.00280178250236	0.00288458295968	10000	76.7855813864457	76.6844254675989
"100-1"	0.00280178257171	0.00288458282106	10000	76.78556697303	76.6844121695068
"10-2"	0.00280179198557	0.00288458016246	10000	76.8078231055421	76.7087496763064
"20-2"	0.00280179198557	0.00288458016246	10000	76.8077834469416	76.7087064177367
"50-2"	0.00280179196823	0.00288458016246	10000	76.8077579052891	76.7086783949946
"100-2"	0.0028017919509	0.00288458006825	10000	76.8077445089227	76.7086634666226
"10-3"	0.00280180373519	0.00288457956901	10000	76.8214820272689	76.723575519733
"20-3"	0.00280180375253	0.00288457952461	10000	76.8214579474646	76.7235455817883
"50-3"	0.00280180375253	0.00288457952461	10000	76.8214181204921	76.723503354933
"100-3"	0.00280180375253	0.00288457945531	10000	76.8213784706929	76.7234617517761
"10-4"	0.0028018163071	0.00288457951595	10000	76.8309209109205	76.733928159896
"20-4"	0.00280181625509	0.00288457949104	10000	76.8308803621838	76.7338851748519
"50-4"	0.00280181623775	0.00288457949104	10000	76.8308443338774	76.7338458467414
"100-4"	0.00280181625509	0.00288457951595	10000	76.8308264582751	76.733826170467
"10-5"	0.00280182924565	0.00288457971521	10000	76.8378825010108	76.7416703647666
"20-5"	0.00280182915897	0.00288457971521	10000	76.8378637253107	76.7416488384174
"50-5"	0.00280182910696	0.00288457971521	10000	76.8378009964367	76.741576754594
"100-5"	0.00280182912429	0.00288457971521	10000	76.8377749077186	76.7415470813798
