"Model"	"train"	"test"
"10-1-10"	"76.8492842243006"	"76.7543412047181"
"10-1-100"	"76.8044112710016"	"76.7053111329703"
"10-1-20"	"76.8485909124679"	"76.7537411426126"
"10-1-50"	"76.8281069590951"	"76.7315207725566"
"10-2-10"	"76.85210941339"	"76.7574430534359"
"10-2-100"	"76.7951417237095"	"76.6952873680505"
"10-2-20"	"76.8504088226149"	"76.7557815976538"
"10-2-50"	"76.821554382155"	"76.7243416154328"
"10-3-10"	"69.3913902411537"	"69.5884152994254"
"10-3-100"	"76.7898701260115"	"76.6896588943331"
"10-3-20"	"76.8518572020289"	"76.7573764960984"
"10-3-50"	"76.8172283030923"	"76.71961213898"
"10-4-10"	"76.8552647978726"	"76.7608732590604"
"10-4-100"	"76.7867509570399"	"76.6863577263138"
"10-4-20"	"76.8548151647296"	"76.7606162244833"
"10-4-50"	"76.81360522514"	"76.7156458112015"
"10-5-10"	"67.9994630066453"	"68.0716081149207"
"10-5-100"	"66.9787180497828"	"67.0387099685886"
"10-5-20"	"76.8569905542046"	"76.7629619527212"
"10-5-50"	"76.8105181158654"	"76.7122583707699"
"10-6-10"	"76.8566090761525"	"76.7623331870453"
"10-6-100"	"66.6575769084281"	"66.6506445775123"
"10-6-20"	"76.8584558388696"	"76.7645485206544"
"10-6-50"	"66.5769282197323"	"66.6173088489375"
"100-1-10"	"76.8492335010919"	"76.7542864142529"
"100-1-100"	"76.804549953265"	"76.7054612928112"
"100-1-20"	"76.8483407558775"	"76.753464031565"
"100-1-50"	"76.8279351817194"	"76.7313268064489"
"100-2-10"	"76.8519722841782"	"76.7572933449173"
"100-2-100"	"76.7953543397633"	"76.6955042295614"
"100-2-20"	"76.8501121472779"	"76.755456495814"
"100-2-50"	"76.820951179424"	"76.7236615896967"
"100-3-10"	"76.8540806315688"	"76.7595902206333"
"100-3-100"	"76.7904427647218"	"76.6902656175359"
"100-3-20"	"76.8513767516588"	"76.7568637300608"
"100-3-50"	"76.816631630918"	"76.718932408311"
"100-4-10"	"76.8550142183898"	"76.7606036921303"
"100-4-100"	"76.7876977453808"	"76.6873693553491"
"100-4-20"	"76.8528206060042"	"76.7584512657098"
"100-4-50"	"76.8133990759712"	"76.7153938798838"
"100-5-10"	"76.8558399523473"	"76.7614973283116"
"100-5-100"	"76.7861928356973"	"76.6858330380118"
"100-5-20"	"76.8544495549295"	"76.7602333034062"
"100-5-50"	"76.8105629179456"	"76.7123104425382"
"100-6-10"	"76.8563452026904"	"76.7620474805021"
"100-6-100"	"76.7857320711303"	"76.6854343202879"
"100-6-20"	"76.8553442528728"	"76.7612017078743"
"100-6-50"	"76.808797359522"	"76.7104046723266"
"20-1-10"	"76.8492313214728"	"76.7542836270361"
"20-1-100"	"76.8045182435206"	"76.7054293566763"
"20-1-20"	"76.8484755642952"	"76.7536136132585"
"20-1-50"	"76.8280752821658"	"76.7314845492217"
"20-2-10"	"76.852030729443"	"76.7573570541702"
"20-2-100"	"76.7951995099871"	"76.6953426522479"
"20-2-20"	"76.8505589982727"	"76.7559441458709"
"20-2-50"	"76.821331225378"	"76.7240885497644"
"20-3-10"	"76.8541968130901"	"76.7597162033738"
"20-3-100"	"76.7902037794142"	"76.6900128442659"
"20-3-20"	"76.8520606860307"	"76.757606633177"
"20-3-50"	"76.8169806283443"	"76.71932839216"
"20-4-10"	"76.8551261935143"	"76.7607245650295"
"20-4-100"	"76.787290268135"	"76.686931980682"
"20-4-20"	"76.8539408599051"	"76.7596703751736"
"20-4-50"	"76.8135738537025"	"76.7156068143751"
"20-5-10"	"76.8560016221699"	"76.7616730945398"
"20-5-100"	"76.7856295183987"	"76.685225944954"
"20-5-20"	"76.8553980875881"	"76.76125118666"
"20-5-50"	"76.81151350451"	"76.7133672642656"
"20-6-10"	"76.8564536757922"	"76.7621644504369"
"20-6-100"	"76.7848760192415"	"76.6845040781653"
"20-6-20"	"76.8574161296694"	"76.7634299404735"
"20-6-50"	"76.8095042661921"	"76.7111890283236"
"50-1-10"	"76.8492320996237"	"76.7542844040203"
"50-1-100"	"76.8045291691325"	"76.7054393733391"
"50-1-20"	"76.8483931244117"	"76.7535220398874"
"50-1-50"	"76.827957023849"	"76.7313513561474"
"50-2-10"	"76.8520319708174"	"76.7573584573243"
"50-2-100"	"76.7953510515146"	"76.6955046451177"
"50-2-20"	"76.8500462979652"	"76.7553871771773"
"50-2-50"	"76.8212008520103"	"76.7239404040463"
"50-3-10"	"76.854118286284"	"76.7596310844678"
"50-3-100"	"76.7903552830418"	"76.6901721909874"
"50-3-20"	"76.8517245037793"	"76.7572416386437"
"50-3-50"	"76.8164183795004"	"76.7187126969233"
"50-4-10"	"76.8550227076304"	"76.7606128781305"
"50-4-100"	"76.7875384666217"	"76.6871978677538"
"50-4-20"	"76.8532951233435"	"76.7589651805439"
"50-4-50"	"76.8135435370552"	"76.7155566237845"
"50-5-10"	"76.8558786848588"	"76.7615398580151"
"50-5-100"	"76.7860454810131"	"76.6856735091594"
"50-5-20"	"76.8548116790265"	"76.7606245458158"
"50-5-50"	"76.8110152150839"	"76.7128173088708"
"50-6-10"	"76.8563654399109"	"76.7620695247091"
"50-6-100"	"76.7851698680914"	"76.6848211089602"
"50-6-20"	"76.856221495524"	"76.7621472280575"
"50-6-50"	"76.8088216486112"	"76.7104340050493"
