"Model"	"train_mse"	"test_mse"	"n_iter"	"train_smape"	"test_smape"
"10-1-10"	0.00280188443315	0.00288458478117	10000	76.8492842243006	76.7543412047181
"20-1-10"	0.00280188435636	0.00288458487539	10000	76.8492313214728	76.7542836270361
"50-1-10"	0.00280188435636	0.00288458485048	10000	76.8492320996237	76.7542844040203
"100-1-10"	0.00280188435636	0.00288458478117	10000	76.8492335010919	76.7542864142529
"10-1-20"	0.0028019816564	0.00288459428716	10000	76.8485909124679	76.7537411426126
"20-1-20"	0.00280198127242	0.00288459421785	10000	76.8484755642952	76.7536136132585
"50-1-20"	0.0028019808761	0.00288459426225	10000	76.8483931244117	76.7535220398874
"100-1-20"	0.00280198064571	0.00288459405433	10000	76.8483407558775	76.753464031565
"10-1-50"	0.00280219422144	0.00288461820157	10000	76.8281069590951	76.7315207725566
"20-1-50"	0.00280219336434	0.00288461789944	10000	76.8280752821658	76.7314845492217
"50-1-50"	0.0028021917715	0.00288461783013	10000	76.827957023849	76.7313513561474
"100-1-50"	0.00280219151632	0.00288461783013	10000	76.8279351817194	76.7313268064489
"10-1-100"	0.00280240587289	0.00288464531822	10000	76.8044112710016	76.7053111329703
"20-1-100"	0.00280240501579	0.00288464531822	10000	76.8045182435206	76.7054293566763
"50-1-100"	0.00280240196637	0.00288464476376	10000	76.8045291691325	76.7054393733391
"100-1-100"	0.00280240134955	0.00288464483307	10000	76.804549953265	76.7054612928112
"10-2-10"	0.00280189054689	0.00288458497502	10000	76.85210941339	76.7574430534359
"20-2-10"	0.00280189036607	0.00288458511363	10000	76.852030729443	76.7573570541702
"50-2-10"	0.00280189040074	0.00288458511363	10000	76.8520319708174	76.7573584573243
"100-2-10"	0.00280189024715	0.0028845848808	10000	76.8519722841782	76.7572933449173
"10-2-20"	0.00280199956161	0.00288459627434	10000	76.8504088226149	76.7557815976538
"20-2-20"	0.00280199955172	0.00288459604151	10000	76.8505589982727	76.7559441458709
"50-2-20"	0.00280199869706	0.00288459611082	10000	76.8500462979652	76.7553871771773
"100-2-20"	0.00280199836265	0.00288459624944	10000	76.8501121472779	76.755456495814
"10-2-50"	0.00280221834941	0.00288462364331	10000	76.821554382155	76.7243416154328
"20-2-50"	0.00280221295408	0.00288462313325	10000	76.821331225378	76.7240885497644
"50-2-50"	0.0028022106255	0.00288462296973	10000	76.8212008520103	76.7239404040463
"100-2-50"	0.00280220788327	0.00288462266759	10000	76.820951179424	76.7236615896967
"10-2-100"	0.00280239464135	0.00288464847064	10000	76.7951417237095	76.6952873680505
"20-2-100"	0.00280239375946	0.00288464873379	10000	76.7951995099871	76.6953426522479
"50-2-100"	0.0028023892708	0.00288464817933	10000	76.7953510515146	76.6955046451177
"100-2-100"	0.00280238206714	0.00288464729782	10000	76.7953543397633	76.6955042295614
"10-3-10"	0.00103317343342	0.0011973829079	3084	69.3913902411537	69.5884152994254
"20-3-10"	0.00280189389605	0.00288458477251	10000	76.8541968130901	76.7597162033738
"50-3-10"	0.0028018936731	0.00288458463389	10000	76.854118286284	76.7596310844678
"100-3-10"	0.00280189364832	0.0028845847032	10000	76.8540806315688	76.7595902206333
"10-3-20"	0.00280201020856	0.00288459718617	10000	76.8518572020289	76.7573764960984
"20-3-20"	0.00280201013678	0.00288459732479	10000	76.8520606860307	76.757606633177
"50-3-20"	0.00280200944316	0.00288459736919	10000	76.8517245037793	76.7572416386437
"100-3-20"	0.00280200864552	0.00288459727497	10000	76.8513767516588	76.7568637300608
"10-3-50"	0.00280223220439	0.0028846278321	10000	76.8172283030923	76.71961213898
"20-3-50"	0.00280222630127	0.00288462748556	10000	76.8169806283443	76.71932839216
"50-3-50"	0.00280222419821	0.00288462743575	10000	76.8164183795004	76.7187126969233
"100-3-50"	0.00280222019499	0.00288462688128	10000	76.816631630918	76.718932408311
"10-3-100"	0.0028023876334	0.00288465238544	10000	76.7898701260115	76.6896588943331
