X.SampleID	elevation	AGE	Temperature	Precipitation3Days	INBREDS	Maize_Line
11116.L06A088.1196116	260.1	10	69.5	0.12	Mo17	Non_Stiff_Stalk
11116.L30A085.1194785	260.1	9	71.2	0.03	CML322	Tropical
11116.A03D076.1195997	125.86	6	66.8	0.85	Ki3	Tropical
11116.U513A62.1197593	222.59	12	76.0	0.14	Oh7B	Non_Stiff_Stalk
11116.A08C070.1196536	125.86	4	64.8	0.4	CML277	Tropical
11116.L15A092.1196951	260.1	11	76.2	0.21	Mo17	Non_Stiff_Stalk
11116.A16A073.1194938	125.86	5	67.7	0.07	CML247	Tropical
11116.I29A065.1197249	120.16	2	69.2	0.47	CML322	Tropical
11116.I05A084.1197927	120.16	8	73.2	0.09	MS71	Non_Stiff_Stalk
11116.A22C070.1193629	125.86	4	64.8	0.4	Oh7B	Non_Stiff_Stalk
11116.A12D082.1194724	125.86	8	73.2	0.09	B73	Stiff_Stalk
11116.L24A076.1197506	260.1	6	66.8	0.85	CML228	Tropical
11116.A03B073.1198468	125.86	5	67.7	0.07	Ki3	Tropical
11116.A13B091.1194772	125.86	11	76.2	0.21	B97	Non_Stiff_Stalk
11116.C30A62.1195065	237.63	12	76.0	0.14	Mo17	Non_Stiff_Stalk
11116.A26D076.1194374	125.86	6	66.8	0.85	Tx303	Mixed
11116.I08A067.1198395	120.16	3	54.5	0.91	CML277	Tropical
11116.A22D085.1194910	125.86	9	71.2	0.03	CML247	Tropical
11116.I03A098.1197529	120.16	13	68.3	0.07	Ky21	Non_Stiff_Stalk
11116.I18A066.1197035	120.16	2	69.2	0.47	B97	Non_Stiff_Stalk
11116.I09A086.1196667	120.16	9	71.2	0.03	Il14H	Sweet_Corn
11116.L07A075.1195488	260.1	5	67.7	0.07	CML52	Tropical
11116.A10A082.1196965	125.86	8	73.2	0.09	Ky21	Non_Stiff_Stalk
11116.L12A095.1195179	260.1	12	76.0	0.14	B73	Stiff_Stalk
11116.A24B079.1196418	125.86	7	80.0	0.0	CML228	Tropical
11116.I21A098.1194147	120.16	13	68.3	0.07	NC358	Tropical
11116.I32A064.1197804	120.16	2	69.2	0.47	CML103	Tropical
11116.I30A097.1196163	120.16	13	68.3	0.07	Tzi8	Tropical
11116.A29A103.1194320	125.86	15	74.5	0.01	CML322	Tropical
11116.A03B070.1195321	125.86	4	64.8	0.4	Ki3	Tropical
11116.L13A095.1196416	260.1	12	76.0	0.14	B97	Non_Stiff_Stalk
11116.A21B079.1197864	125.86	7	80.0	0.0	Oh7B	Non_Stiff_Stalk
11116.I15A118.1197595	120.16	20	49.4	0.63	Ki11	Tropical
11116.A27C061.1197137	125.86	1	71.0	0.01	B73	Stiff_Stalk
11116.L03A089.1195062	260.1	10	69.5	0.12	Ki3	Tropical
11116.L11A091.1195922	260.1	11	76.2	0.21	NC350	Tropical
11116.L23A103.1197443	260.1	15	74.5	0.01	B73	Stiff_Stalk
11116.A21B118.1194094	125.86	20	49.4	0.63	Oh7B	Non_Stiff_Stalk
11116.A09C118.1197337	125.86	20	49.4	0.63	Il14H	Sweet_Corn
11116.L05A084.1194795	260.1	8	73.2	0.09	Mo18W	Mixed
11116.A25A103.1197934	125.86	15	74.5	0.01	P39	Sweet_Corn
11116.I16A093.1194749	120.16	11	76.2	0.21	CML247	Tropical
11116.L19A104.1197272	260.1	15	74.5	0.01	CML69	Tropical
11116.I15A097.1196443	120.16	13	68.3	0.07	Ki11	Tropical
11116.L16A068.1194879	260.1	3	54.5	0.91	CML103	Tropical
11116.L08A105.1196972	260.1	15	74.5	0.01	Il14H	Sweet_Corn
11116.A02D079.1197228	125.86	7	80.0	0.0	Ky21	Non_Stiff_Stalk
11116.L22A101.1197459	260.1	14	64.1	3.31	CML322	Tropical
11116.L07A097.1194673	260.1	13	68.3	0.07	CML52	Tropical
11116.A18C085.1196102	125.86	9	71.2	0.03	CML69	Tropical
11116.A21B064.1196858	125.86	2	69.2	0.47	Oh7B	Non_Stiff_Stalk
11116.A18A079.1194658	125.86	7	80.0	0.0	B97	Non_Stiff_Stalk
11116.L05A079.1196294	260.1	7	80.0	0.0	Mo18W	Mixed
11116.I21A102.1196305	120.16	14	64.1	3.31	NC358	Tropical
11116.A04C103.1196094	125.86	15	74.5	0.01	Oh43	Non_Stiff_Stalk
11116.L19A072.1196261	260.1	4	64.8	0.4	CML69	Tropical
11116.I22A093.1194690	120.16	11	76.2	0.21	Oh7B	Non_Stiff_Stalk
11116.L27A101.1196249	260.1	14	64.1	3.31	CML333	Tropical
11116.I01A080.1193986	120.16	7	80.0	0.0	B73	Stiff_Stalk
11116.I29A089.1194492	120.16	10	69.5	0.12	CML322	Tropical
11116.C30A63.1195805	237.63	12	76.0	0.14	Mo17	Non_Stiff_Stalk
11116.A18C070.1194727	125.86	4	64.8	0.4	B97	Non_Stiff_Stalk
11116.L04A081.1194611	260.1	7	80.0	0.0	MS71	Non_Stiff_Stalk
11116.C28A62.1194887	237.63	12	76.0	0.14	Ky21	Non_Stiff_Stalk
11116.C05A63.1194497	237.63	12	76.0	0.14	Mo17	Non_Stiff_Stalk
11116.I22A102.1198322	120.16	14	64.1	3.31	Oh7B	Non_Stiff_Stalk
11116.L15A080.1193699	260.1	7	80.0	0.0	Mo17	Non_Stiff_Stalk
11116.A22C073.1195569	125.86	5	67.7	0.07	Oh7B	Non_Stiff_Stalk
11116.I21A064.1197674	120.16	2	69.2	0.47	NC358	Tropical
11116.I19A093.1194585	120.16	11	76.2	0.21	CML69	Tropical
11116.I31A074.1194593	120.16	5	67.7	0.07	Mo17	Non_Stiff_Stalk
11116.I04A120.1198140	120.16	20	49.4	0.63	Oh43	Non_Stiff_Stalk
11116.L17A061.1194845	260.1	1	71.0	0.01	Mo17	Non_Stiff_Stalk
11116.A26C088.1195870	125.86	10	69.5	0.12	CML333	Tropical
11116.I15A068.1195376	120.16	3	54.5	0.91	Ki11	Tropical
11116.I31A066.1194004	120.16	2	69.2	0.47	Mo17	Non_Stiff_Stalk
11116.L26A082.1197141	260.1	8	73.2	0.09	Tx303	Mixed
11116.A14C097.1196350	125.86	13	68.3	0.07	M37W	Mixed
11116.U495A63.1196777	222.59	12	76.0	0.14	Mo17	Non_Stiff_Stalk
