	loss	val_loss	n_iter
10-1	0.00280178250236	0.00288458295968	10000
20-1	0.0028017825197	0.00288458295968	10000
50-1	0.00280178250236	0.00288458295968	10000
100-1	0.00280178257171	0.00288458282106	10000
10-2	0.00280179198557	0.00288458016246	10000
20-2	0.00280179198557	0.00288458016246	10000
50-2	0.00280179196823	0.00288458016246	10000
100-2	0.0028017919509	0.00288458006825	10000
10-3	0.00280180373519	0.00288457956901	10000
20-3	0.00280180375253	0.00288457952461	10000
50-3	0.00280180375253	0.00288457952461	10000
100-3	0.00280180375253	0.00288457945531	10000
10-4	0.0028018163071	0.00288457951595	10000
20-4	0.00280181625509	0.00288457949104	10000
50-4	0.00280181623775	0.00288457949104	10000
100-4	0.00280181625509	0.00288457951595	10000
10-5	0.00280182924565	0.00288457971521	10000
20-5	0.00280182915897	0.00288457971521	10000
50-5	0.00280182910696	0.00288457971521	10000
100-5	0.00280182912429	0.00288457971521	10000
