"Model"	"train_mse"	"test_mse"	"n_iter"	"train_smape"	"test_smape"
"20-10-5-10"	0.000788463529705	0.00085966719374	1778	66.7499206388473	66.7040535207775
"50-10-5-10"	0.00280189822095	0.00288458670988	10000	76.8301158047649	76.7331502473443
"100-10-5-10"	0.000791121068322	0.000888104850513	1925	67.5400926840567	67.5932560553419
"20-10-5-100"	0.00280260458876	0.00288468962102	10000	76.781918562122	76.6812712589288
"50-10-5-100"	0.00280258958195	0.0028846875667	10000	76.7818684412248	76.6812056298059
"100-10-5-100"	0.000655579515832	0.000765991916739	1595	66.7441372934253	66.6761286633794
"20-10-6-50"	0.000635147727731	0.000742315641756	1310	66.3141123454342	66.2531317505701
"50-10-6-50"	0.00280233824324	0.00288464277874	10000	76.8154321793427	76.7177707480706
"100-10-6-50"	0.000567013877493	0.000719127613715	1819	66.0499663417751	66.1123237261865
"20-10-6-100"	0.00280259535857	0.00288469110681	10000	76.7793587159889	76.6785515664726
"50-10-6-100"	0.000608609410967	0.000722531652414	1320	66.1472146664886	66.1930725529945
"100-10-6-100"	0.000584485653694	0.000719966849605	1582	66.3252631081109	66.3251532375534
