"Model"	"train"	"test"
"100-10-5-10"	"67.5400926840567"	"67.5932560553419"
"100-10-5-100"	"66.7441372934253"	"66.6761286633794"
"100-10-6-100"	"66.3252631081109"	"66.3251532375534"
"100-10-6-50"	"66.0499663417751"	"66.1123237261865"
"20-10-5-10"	"66.7499206388473"	"66.7040535207775"
"20-10-5-100"	"76.781918562122"	"76.6812712589288"
"20-10-6-100"	"76.7793587159889"	"76.6785515664726"
"20-10-6-50"	"66.3141123454342"	"66.2531317505701"
"50-10-5-10"	"76.8301158047649"	"76.7331502473443"
"50-10-5-100"	"76.7818684412248"	"76.6812056298059"
"50-10-6-100"	"66.1472146664886"	"66.1930725529945"
"50-10-6-50"	"76.8154321793427"	"76.7177707480706"
