	loss	val_loss	n_iter
10-1-10	0.00280188443315	0.00288458478117	10000
20-1-10	0.00280188435636	0.00288458487539	10000
50-1-10	0.00280188435636	0.00288458485048	10000
100-1-10	0.00280188435636	0.00288458478117	10000
10-1-20	0.0028019816564	0.00288459428716	10000
20-1-20	0.00280198127242	0.00288459421785	10000
50-1-20	0.0028019808761	0.00288459426225	10000
100-1-20	0.00280198064571	0.00288459405433	10000
10-1-50	0.00280219422144	0.00288461820157	10000
20-1-50	0.00280219336434	0.00288461789944	10000
50-1-50	0.0028021917715	0.00288461783013	10000
100-1-50	0.00280219151632	0.00288461783013	10000
10-1-100	0.00280240587289	0.00288464531822	10000
20-1-100	0.00280240501579	0.00288464531822	10000
50-1-100	0.00280240196637	0.00288464476376	10000
100-1-100	0.00280240134955	0.00288464483307	10000
10-2-10	0.00280189054689	0.00288458497502	10000
20-2-10	0.00280189036607	0.00288458511363	10000
50-2-10	0.00280189040074	0.00288458511363	10000
100-2-10	0.00280189024715	0.0028845848808	10000
10-2-20	0.00280199956161	0.00288459627434	10000
20-2-20	0.00280199955172	0.00288459604151	10000
50-2-20	0.00280199869706	0.00288459611082	10000
100-2-20	0.00280199836265	0.00288459624944	10000
10-2-50	0.00280221834941	0.00288462364331	10000
20-2-50	0.00280221295408	0.00288462313325	10000
50-2-50	0.0028022106255	0.00288462296973	10000
100-2-50	0.00280220788327	0.00288462266759	10000
10-2-100	0.00280239464135	0.00288464847064	10000
20-2-100	0.00280239375946	0.00288464873379	10000
50-2-100	0.0028023892708	0.00288464817933	10000
100-2-100	0.00280238206714	0.00288464729782	10000
10-3-10	0.00103317343342	0.0011973829079	3084
20-3-10	0.00280189389605	0.00288458477251	10000
50-3-10	0.0028018936731	0.00288458463389	10000
100-3-10	0.00280189364832	0.0028845847032	10000
10-3-20	0.00280201020856	0.00288459718617	10000
20-3-20	0.00280201013678	0.00288459732479	10000
50-3-20	0.00280200944316	0.00288459736919	10000
100-3-20	0.00280200864552	0.00288459727497	10000
10-3-50	0.00280223220439	0.0028846278321	10000
20-3-50	0.00280222630127	0.00288462748556	10000
50-3-50	0.00280222419821	0.00288462743575	10000
100-3-50	0.00280222019499	0.00288462688128	10000
10-3-100	0.0028023876334	0.00288465238544	10000
20-3-100	0.00280238504721	0.0028846524071	10000
50-3-100	0.00280237516078	0.00288465129277	10000
100-3-100	0.00280237543086	0.00288465145629	10000
10-4-10	0.00280189521393	0.00288458472811	10000
20-4-10	0.0028018951049	0.00288458486672	10000
50-4-10	0.00280189495875	0.00288458479742	10000
100-4-10	0.00280189498354	0.00288458479742	10000
10-4-20	0.00280201926025	0.00288459786517	10000
20-4-20	0.00280201786313	0.00288459790957	10000
50-4-20	0.00280201667161	0.00288459781536	10000
100-4-20	0.00280201602757	0.00288459806768	10000
10-4-50	0.00280224597526	0.00288463183246	10000
20-4-50	0.00280224035698	0.00288463148592	10000
50-4-50	0.00280223250426	0.00288463095095	10000
100-4-50	0.0028022298834	0.00288463088164	10000
10-4-100	0.00280237920613	0.00288465552703	10000
20-4-100	0.00280237754394	0.0028846561638	10000
50-4-100	0.00280237127417	0.00288465552054	10000
100-4-100	0.00280236652546	0.00288465503538	10000
10-5-10	0.00079303027618	0.000913185402101	3584
20-5-10	0.00280189599423	0.00288458487539	10000
50-5-10	0.00280189590253	0.00288458452019	10000
100-5-10	0.00280189581585	0.0028845846144	10000
10-5-20	0.0028020244153	0.00288459803411	10000
20-5-20	0.00280202239892	0.00288459821712	10000
50-5-20	0.00280202170531	0.00288459844454	10000
100-5-20	0.0028020211405	0.00288459858316	10000
10-5-50	0.00280225284938	0.00288463482135	10000
20-5-50	0.00280224801154	0.00288463430263	10000
50-5-50	0.00280224073609	0.0028846340698	10000
100-5-50	0.00280223915816	0.0028846349513	10000
10-5-100	0.000646128725913	0.000852228785313	2710
20-5-100	0.00280236925536	0.00288465959345	10000
50-5-100	0.0028023640013	0.00288465916352	10000
100-5-100	0.00280236256205	0.00288465902491	10000
10-6-10	0.00280189671006	0.00288458443138	10000
20-6-10	0.00280189646734	0.00288458450069	10000
50-6-10	0.00280189643267	0.00288458454509	10000
100-6-10	0.00280189639799	0.00288458450069	10000
10-6-20	0.00280202807408	0.00288459785109	10000
20-6-20	0.00280202666708	0.00288459833625	10000
50-6-20	0.00280202542355	0.00288459842505	10000
100-6-20	0.00280202464569	0.00288459870228	10000
10-6-50	0.000623257448749	0.000730052371347	1617
20-6-50	0.0028022547891	0.00288463705003	10000
50-6-50	0.00280224470207	0.0028846376099	10000
100-6-50	0.00280224248253	0.00288463744638	10000
10-6-100	0.000568526296086	0.000733311241222	1488
20-6-100	0.00280236859154	0.00288466321694	10000
50-6-100	0.00280236458344	0.00288466315846	10000
100-6-100	0.00280235993116	0.00288466209394	10000
