"Model"	"train_mse"	"test_mse"	"n_iter"	"train_smape"	"test_smape"
"20-10-5-10-20"	0.00280203466838	0.00288459866871	10000	76.8625101562262	76.7689776375032
"50-10-5-10-20"	0.00280203469073	0.00288459873802	10000	76.8625034056872	76.7689705425146
"100-10-5-10-20"	0.000689193625	0.000963980936835	5695	67.1548220580131	67.3203304117467
"20-10-5-10-50"	0.000681831620921	0.000859718041245	1970	66.2406120915109	66.3657618107481
"50-10-5-10-50"	0.000716019318336	0.000972859162653	3196	66.7563803263435	66.8828894568376
"100-10-5-10-50"	0.000681580819246	0.000837759338157	2369	66.7875092808378	66.7417363180088
"20-10-5-10-100"	0.000714327791485	0.00082602799778	1411	66.7357814793122	66.8177745363243
"50-10-5-10-100"	0.00280235640362	0.00288466116262	10000	76.78828670006	76.6881736318762
"100-10-5-10-100"	0.000691160919973	0.000866547163825	1778	66.6670506204347	66.6606633036143
"20-10-5-100-200"	0.000631156779462	0.000745223459874	782	65.9058205395211	65.958189751177
"50-10-5-100-200"	0.000719889279424	0.000846959077645	762	66.9245091147542	67.0392549849842
"100-10-5-100-200"	0.000645901109341	0.000882051401869	1180	66.3574923180099	66.5449810411372
"20-10-5-100-500"	0.00064036242604	0.000748019871237	745	65.9453589733555	65.8984296071611
"50-10-5-100-500"	0.000725036256895	0.000840068843248	643	67.1095357349022	67.1240432470046
"100-10-5-100-500"	0.000693182009152	0.000847269375105	672	66.3562060715619	66.4091825409013
"20-10-5-100-1000"	0.000676385209731	0.000790676595048	576	65.8575468548795	65.7586544010204
"50-10-5-100-1000"	0.000568184649284	0.000798145410074	794	65.8012598794525	65.9673900776938
"100-10-5-100-1000"	0.000576594118084	0.000780464447006	779	66.3636968043366	66.4548839725666
"20-10-6-50-100"	0.000624467322849	0.000824337493802	1484	65.5877572449176	65.7018286937412
"50-10-6-50-100"	0.000641958136172	0.000940832376296	1561	66.1314498329731	66.4353041674266
"100-10-6-50-100"	0.000545515586128	0.000822201278331	2063	65.457470278944	65.6786725491075
"20-10-6-50-250"	0.000608961273603	0.00078489838742	987	66.2268011498076	66.3579590350586
"50-10-6-50-250"	0.00051663711005	0.000736776351127	1280	65.6260837263221	65.8042413475093
"100-10-6-50-250"	0.000602271150192	0.000771794626814	1031	66.2391127257349	66.3887314576116
"20-10-6-50-500"	0.00051430673135	0.000717047499872	1086	65.8325712001916	65.9936384950354
"50-10-6-50-500"	0.000530613294896	0.000683988052485	997	65.8290601942403	65.8975386167374
"100-10-6-50-500"	0.000514261578661	0.000678165517964	1079	65.563440821381	65.6592633804492
"20-10-6-100-200"	0.000615879386873	0.000729965867453	804	66.1400412007025	66.1093176378783
"50-10-6-100-200"	0.00067489463987	0.000833953770831	812	66.6174001441745	66.6292700262196
"100-10-6-100-200"	0.00052106117619	0.000760337596131	1104	65.895539114959	66.1002349575029
"20-10-6-100-500"	0.000515576640997	0.000720561168503	924	65.7445656171638	65.9234364559806
"50-10-6-100-500"	0.000540655076339	0.000715071718793	852	66.0795540555731	66.2053412580569
"100-10-6-100-500"	0.000477686233251	0.00066703161019	959	65.4408288017724	65.5628047151999
"20-10-6-100-1000"	0.00049278686382	0.000689136697694	836	65.0437573577776	65.1944184082806
"50-10-6-100-1000"	0.00058066898497	0.000731588022101	670	65.2642291030528	65.3695483626134
"100-10-6-100-1000"	0.000566946218824	0.000760509729992	702	65.8771416427033	65.9404378609059
