X.SampleID	1	2	3	4	5	6
11116.I22A105.1197160	-0.007874326	-0.11347592	-0.37438688	-0.4011991	0.26383314	0.23317707
11116.L31A077.1195601	-0.04403087	-0.38367167	0.4112303	-0.3775367	0.13876066	0.08418903
11116.I20A099.1197508	-0.012874845	-0.13668735	-0.49716428	-0.51234514	0.15910414	0.47197518
11116.I21A074.1195716	0.329093	-0.29535595	0.42351088	0.13832302	0.49798614	-0.11894711
11116.A22C088.1195279	-0.060528874	-0.015078264	-0.47321352	-0.64055586	0.013221326	0.5481425
11116.A27B076.1194341	-0.024554677	0.42789656	0.42444822	-0.47134504	-0.11595788	0.0722993
11116.A26A064.1198133	-0.42923442	0.61017764	-0.026977338	0.21044797	-0.2802891	-0.61968577
11116.L03A079.1197750	0.24960269	-0.30698287	0.4251328	-0.45224372	0.03701256	-0.099440746
11116.I10A085.1197118	0.13232665	-0.05321308	-0.13698536	-0.2620937	0.3538144	-0.114237115
11116.I32A118.1193922	0.2992994	-0.40098315	-0.2825489	-0.4860529	0.06847292	0.39717627
11116.U443A61.1194453	0.3113682	-0.45153013	-0.5916434	-0.09991863	0.23400666	0.09825016
11116.A14D079.1198268	-0.004756594	0.43700704	0.2705661	-0.422276	-0.009510617	0.04382977
11116.A20A082.1197310	0.02924734	-0.040208966	-0.3376442	-0.6787394	0.021428432	0.53777725
11116.I26A097.1197987	0.001940068	-0.16933757	-0.46985698	-0.42003423	0.24564266	0.34711868
11116.L28A067.1197409	-0.16415939	-0.418651	0.15982041	-0.49672127	0.08302453	0.21970446
11116.L03A065.1193914	-0.64821535	-0.3419573	0.12677372	-0.10525907	-0.017236283	-0.6772331
11116.A16A067.1194201	0.05225365	0.124375746	0.34603533	-0.42132354	-0.16328691	-0.028519453
11116.I08A120.1194488	0.34743533	-0.30803537	-0.2895399	-0.43744898	0.041603193	0.41495892
11116.I08A081.1197521	0.3409979	-0.25388658	0.42070127	-0.019263834	0.43881312	-0.020240158
11116.I21A077.1194016	0.24687155	-0.3780278	0.329665	0.12707211	0.45385697	0.0705013
11116.A15C103.1197053	-0.018345382	-0.03835521	-0.4812872	-0.490361	0.1425761	0.41910356
11116.L09A091.1197835	-0.0017572332	-0.33275005	-0.53214836	-0.40370992	0.16358261	0.30738696
11116.L14A071.1198467	0.020719199	-0.44910118	0.6203307	-0.51613104	0.08351807	0.05812196
11116.L02A104.1194752	0.025469542	-0.10782259	-0.47666612	-0.3984861	0.06966072	0.2788367
11116.C24A66.1193605	-0.03631353	0.082087494	-0.23451369	-0.44813332	-0.0018163301	-0.11026503
11116.A23A091.1194129	-0.07171754	0.008175339	-0.4143349	-0.6124004	0.05494149	0.44992432
11116.A23B070.1197945	0.0031640115	0.47052693	0.37679473	-0.62265223	-0.26510108	0.3023497
11116.I23A068.1196368	0.058621965	-0.474986	0.11962185	0.115669414	0.30667308	-0.101618625
11116.I10A118.1196783	0.36756334	-0.12997495	-0.3002276	-0.45146355	-0.04664303	0.49277955
11116.I30A085.1197727	0.07513379	-0.112943515	-0.18392125	-0.4063718	0.28100848	0.116686024
11116.A07B088.1194377	-0.06751408	-0.01749608	-0.4698926	-0.62866026	0.030534513	0.5248962
11116.L12A073.1198323	0.20543	-0.15563926	0.2831779	-0.3867429	-0.01492601	0.11345776
11116.A11C064.1194809	-0.5418988	0.25591046	-0.10384363	0.09119204	-0.14645748	-0.49262726
11116.L24A085.1195747	-0.0025875815	-0.17838837	-0.25214836	-0.5181843	0.05654884	0.1452716
11116.A33B076.1195540	-0.096983396	0.5127495	0.39080325	-0.46111822	-0.15751062	0.051310368
11116.I25A101.1195039	0.009418206	-0.33765647	-0.47367322	-0.48598796	0.12817854	0.4287154
11116.I23A086.1197611	0.026704572	-0.109530054	-0.15427607	-0.39412883	0.31137973	0.035930004
11116.A09D070.1194025	0.108287945	0.36771548	0.21758923	-0.51240295	-0.16729735	0.4312847
11116.A08B067.1197781	-0.05215587	0.29457277	0.32893464	-0.5501381	-0.29453394	0.10237291
11116.I21A091.1197157	0.07429367	-0.06687191	-0.1906387	-0.3236466	0.3134801	-0.005653611
11116.L19A077.1194622	-0.06332126	-0.22494143	0.4327887	-0.24233682	0.13657686	-0.16578345
11116.I21A067.1194676	0.14539641	-0.49312258	0.07136954	0.31392795	0.35913277	-0.22986764
11116.I12A094.1194780	-0.0017303217	-0.09461256	-0.28924543	-0.39630422	0.2766062	0.12956473
11116.A25A070.1197213	0.018355124	0.43571612	0.38413686	-0.5710663	-0.1998409	0.2594057
11116.L02A100.1198181	0.27080196	-0.1570131	-0.45894942	-0.42879772	-0.080036044	0.47260752
11116.A25B076.1193837	-0.10311939	0.4890705	0.3892292	-0.36297467	-0.080575906	-0.036261156
11116.I01A075.1194975	0.12785858	-0.18313654	0.3906447	0.2686324	0.5358816	-0.40542445
11116.I26A074.1194972	0.15699641	-0.2517586	0.3085566	0.15812999	0.527182	-0.31930068
11116.I24A099.1194482	0.01883117	-0.09879511	-0.3955291	-0.4252018	0.22594145	0.297734
11116.L07A065.1196881	-0.3528543	-0.55006117	0.12103062	0.12628885	-0.011712879	-0.49549538
11116.A09C064.1193798	-0.4713488	0.54839164	-0.058635276	0.15230456	-0.26935256	-0.57394165
11116.A05A088.1196516	-0.053169187	-0.011386348	-0.47670764	-0.6438745	0.004436314	0.5582456
11116.L30A100.1195675	0.20541327	-0.21953243	-0.42777705	-0.55252844	-0.08080249	0.5275799
11116.L25A066.1194296	-0.34117535	-0.5474881	0.13448296	0.118702196	-0.019256147	-0.48892537
