X.SampleID	1	2	3	4	5	6
11116.I22A105.1197160	0.024485638	-0.086294785	-0.3935299	-0.022699626	0.2757676	0.41461954
11116.L31A077.1195601	-0.31793073	0.12702316	0.19376418	0.4029207	-0.1720556	0.36781368
11116.I20A099.1197508	0.05663271	0.03150041	-0.40968665	-0.08521735	0.29036704	0.57010716
11116.I21A074.1195716	-0.31707013	-0.50863224	-0.04046217	0.48167074	0.01436835	-0.16302875
11116.A22C088.1195279	0.06922296	0.22700392	-0.39298278	-0.1408301	0.37512982	0.77976096
11116.A27B076.1194341	-0.33560824	0.37762803	0.3623438	-0.20983618	0.038697917	0.08802538
11116.A26A064.1198133	0.2478855	0.62906015	-0.02680604	-0.364055	-0.42006305	-0.20335366
11116.L03A079.1197750	-0.30455533	0.026817035	0.39089897	0.110812165	0.08439104	0.18515743
11116.I10A085.1197118	0.00069242704	-0.2046653	-0.27125105	-0.04221182	0.32091752	0.34744635
11116.I32A118.1193922	0.21774933	0.05124719	-0.13257892	0.32714212	0.4496862	0.57365024
11116.U443A61.1194453	0.48977205	-0.16148165	-0.46794543	0.3685371	0.421554	0.2724528
11116.A14D079.1198268	-0.14178735	0.21593553	0.46757656	-0.3351061	0.27052116	0.23413302
11116.A20A082.1197310	0.06444219	0.21141872	-0.24784067	-0.06312465	0.31539288	0.7535088
11116.I26A097.1197987	-0.013676326	0.024798946	-0.41150588	-0.044973884	0.29794234	0.5421646
11116.L28A067.1197409	-0.06143755	0.1636002	-0.0075679757	0.5420408	-0.10760573	0.3487196
11116.L03A065.1193914	0.086908765	0.34491932	-0.20733342	0.40867454	-0.42465565	-0.21013118
11116.A16A067.1194201	-0.15253563	0.32626998	0.16564634	-0.16964184	-0.07651309	0.50851136
11116.I08A120.1194488	0.27972743	0.13624501	-0.113161735	0.31227344	0.45109326	0.6399847
11116.I08A081.1197521	-0.23421142	-0.49768692	0.068468995	0.26884797	0.2975033	0.07926059
11116.I21A077.1194016	-0.25256604	-0.61077404	-0.1192891	0.5747669	-0.016656913	-0.1200119
11116.A15C103.1197053	0.19865143	0.25075606	-0.4023669	-0.32583556	0.34109452	0.8207377
11116.L09A091.1197835	-0.0385911	0.073797934	-0.29630265	-0.049810633	0.23309499	0.5025614
11116.L14A071.1198467	-0.33921832	0.13884476	0.1654287	0.4684135	-0.23766509	0.33244854
11116.L02A104.1194752	0.10186901	0.08560959	-0.23698607	-0.014043359	0.39683318	0.49398637
11116.C24A66.1193605	-0.25169298	-0.086842865	-0.43542314	-0.36507797	0.0013820222	0.37569904
11116.A23A091.1194129	0.121994354	0.2344925	-0.36417618	-0.18122327	0.34905142	0.79451525
11116.A23B070.1197945	-0.3018232	0.42379338	0.44708547	-0.25008875	0.05781192	0.4088005
11116.I23A068.1196368	-0.21694167	-0.26186326	-0.3076924	0.4147012	0.003727031	-0.029822486
11116.I10A118.1196783	0.3016427	0.18927158	-0.13468002	0.27901673	0.45630375	0.6831328
11116.I30A085.1197727	-0.05099227	-0.0924387	-0.26365557	-0.02807225	0.28873545	0.4271136
11116.A07B088.1194377	0.070744686	0.24082749	-0.39944556	-0.14045478	0.39277673	0.7919571
11116.L12A073.1198323	-0.21856847	-0.033375904	0.23152086	0.28243878	0.14182447	0.15253717
11116.A11C064.1194809	0.33264908	0.5270713	-0.10437645	-0.22234738	-0.43640038	-0.033969957
11116.L24A085.1195747	0.013993094	0.108617984	-0.33476877	0.07674083	0.27154392	0.5794259
11116.A33B076.1195540	-0.33151507	0.46273947	0.44597337	-0.36871138	-0.024234286	0.15017264
11116.I25A101.1195039	0.1305455	0.07082864	-0.38461336	0.046367154	0.37936217	0.6440563
11116.I23A086.1197611	-0.08043807	-0.038355257	-0.2687483	-0.00046575064	0.28907567	0.46619037
11116.A09D070.1194025	0.022228569	0.29836416	0.3370228	-0.34739953	-0.10844206	0.48318616
11116.A08B067.1197781	-0.2896306	0.4197479	0.30413365	-0.20678093	-0.016251892	0.46579427
11116.I21A091.1197157	0.045748636	-0.16136894	-0.30846453	-0.0372977	0.29575324	0.37227696
11116.L19A077.1194622	-0.30212533	0.09801627	0.21459071	0.34812263	-0.1454567	0.21307352
11116.I21A067.1194676	-0.06856804	-0.38848072	-0.41282064	0.48095158	-0.16490468	-0.12628898
11116.I12A094.1194780	0.008748367	-0.044455938	-0.34326077	-0.04040674	0.27674717	0.47499257
11116.A25A070.1197213	-0.34246922	0.30359423	0.43413404	-0.10912442	0.12419912	0.24845134
11116.L02A100.1198181	0.072805986	0.2528379	-0.2739033	0.035507876	0.43829784	0.6357589
11116.A25B076.1193837	-0.32958773	0.37653282	0.3614409	-0.25256318	0.018677609	0.13626161
11116.I01A075.1194975	-0.37024036	-0.3459462	0.04482717	0.45147058	-0.09312003	-0.3100076
11116.I26A074.1194972	-0.3680945	-0.39225948	0.007963607	0.52603614	-0.07824378	-0.34832227
11116.I24A099.1194482	0.08353563	-0.022304969	-0.40170243	-0.067579456	0.2800046	0.5110016
11116.L07A065.1196881	0.027369395	0.35471335	-0.1820776	0.40784103	-0.4624384	-0.20454347
11116.A09C064.1193798	0.27205244	0.58991706	-0.06673342	-0.3112897	-0.42239928	-0.14889681
11116.A05A088.1196516	0.093979016	0.22615178	-0.3872956	-0.17270927	0.35859206	0.783859
11116.L30A100.1195675	0.1103765	0.21985875	-0.28931093	0.13214809	0.4712798	0.6228104
11116.L25A066.1194296	0.0028925452	0.35695487	-0.17160958	0.40465236	-0.47831517	-0.2044747
11116.A14B073.1195558	-0.28297088	0.27961084	0.387513	-0.18552174	0.09253929	0.036376104
11116.A12B085.1198210	0.12667504	0.20214757	-0.33224627	-0.16866477	0.3144182	0.7648527
11116.A02B073.1196026	-0.25418192	0.273943	0.40858504	-0.35058016	0.039120723	0.1778401
11116.I27A068.1193675	-0.16651896	-0.31970674	-0.3520556	0.44181958	-0.03961697	-0.0513361
11116.I09A083.1196037	-0.15977913	-0.12933025	-0.14323933	-0.009614051	0.31423298	0.42959908
11116.A29A082.1193821	0.05437008	0.18400647	-0.23727132	-0.06915018	0.30476213	0.7330522
11116.L06A065.1195531	0.044709235	0.35081708	-0.18875039	0.4001262	-0.45724672	-0.21368213
11116.L29A086.1194563	0.026750736	0.11431013	-0.32622957	0.0859295	0.28575742	0.578163
11116.L22A068.1193738	-0.057598	0.1669196	-0.011536636	0.54408014	-0.10684768	0.34394678
11116.I13A087.1193694	-0.11786277	-0.035506744	-0.2628053	0.032259114	0.2950894	0.45042512
11116.L25A079.1194278	-0.1179605	0.01585846	0.377914	0.11770836	0.45620838	0.48186696
11116.I23A090.1195576	-0.034425773	-0.0039950917	-0.34029204	-0.021657057	0.28850386	0.5085086
11116.A06B070.1198022	-0.20335057	0.36614048	0.41819412	-0.29926696	-0.02234787	0.43571517
11116.A29B079.1195428	-0.13920039	0.16386865	0.44644114	-0.27476442	0.26835278	0.20538571
11116.L18A101.1195895	0.10801537	0.21778186	-0.31602874	0.14781928	0.4651362	0.6308642
11116.L28A102.1196533	0.1330539	0.20783678	-0.27175534	0.15988083	0.4922486	0.6118163
11116.L07A070.1198122	-0.3524209	0.11840421	0.19798493	0.44169146	-0.2290541	0.27760392
11116.I26A081.1194014	-0.2664483	-0.40901816	0.19111778	0.36854523	0.053675614	-0.29932877
11116.I12A102.1198027	0.13905624	0.11402314	-0.37584558	0.062221978	0.39626762	0.68952364
11116.L31A090.1196724	0.0938627	0.12162689	-0.31313786	0.075878635	0.36246186	0.5586264
11116.I24A118.1197344	0.28687295	0.14374591	-0.092429996	0.30386412	0.44233742	0.64300543
11116.A21B067.1197361	-0.2829288	0.40178183	0.29165196	-0.20060273	-0.019219505	0.4634207
11116.I07A085.1198029	-0.10325472	-0.05631314	-0.25885424	0.012174123	0.290712	0.4377438
11116.I31A103.1197001	0.058775015	-0.112220615	-0.39359757	-0.020500049	0.27582666	0.39098856
11116.A05A067.1197058	-0.22852404	0.37203518	0.24143471	-0.20210454	-0.049610708	0.48320428
11116.U473A61.1196997	0.47631982	-0.17329784	-0.4244412	0.33896452	0.41987756	0.24841139
11116.C09A65.1194371	-0.28218058	-0.06802306	-0.4385387	-0.37334484	-0.014282594	0.39944533
11116.L07A077.1194039	-0.28237385	0.072202414	0.21627247	0.33652967	-0.104540564	0.15999371
11116.I05A076.1195402	-0.33943594	-0.5029704	-0.12380905	0.53219974	-0.05638961	-0.11017445
11116.I07A104.1196389	0.028397013	-0.050968327	-0.39840946	-0.038204774	0.27719563	0.46041733
11116.A09D082.1195664	0.08921732	0.14168338	-0.22267078	-0.19121031	0.28907883	0.72802776
11116.L26A091.1197738	-0.037265494	0.0797922	-0.3260567	-0.035095338	0.23168501	0.5228263
11116.I10A105.1197184	0.09315753	-0.12786439	-0.39455914	-0.018607493	0.27756774	0.37919176
11116.I23A091.1194756	-0.0093324445	-0.05877459	-0.30331606	-0.03560527	0.27939725	0.4622534
11116.L24A102.1196562	0.13608797	0.20423988	-0.29157302	0.17675145	0.4913942	0.6166911
11116.L03A091.1196634	-0.05851861	0.07295398	-0.3362873	-0.05272156	0.21047002	0.52055204
11116.L24A119.1195908	0.40293568	0.14165358	0.10004924	0.31032944	0.6850263	0.49941573
11116.L04A070.1195935	-0.36474288	0.12975986	0.19373332	0.44455615	-0.25253916	0.2989111
11116.C12A63.1195641	-0.26526532	-0.08037186	-0.45548335	-0.3685676	-0.012139051	0.39083666
11116.I19A102.1197590	0.13169684	0.09482528	-0.3806882	0.053596936	0.39233124	0.6804108
11116.L01A087.1197168	-0.027788872	0.09241547	-0.34669578	0.03971501	0.22894368	0.5720788
11116.L06A100.1194511	0.1330539	0.20783678	-0.27175534	0.15988083	0.4922486	0.6118163
11116.U497A63.1195824	0.39197773	-0.152148	-0.47461313	0.25951305	0.35991767	0.28913176
11116.I25A119.1198455	0.18813236	0.0066545294	-0.1588239	0.3392482	0.45670527	0.53670245
11116.A15D079.1195052	-0.13899638	0.1775808	0.43604183	-0.3385262	0.28684753	0.2983628
11116.I03A065.1194028	0.17885505	-0.1680947	-0.46852288	0.5046919	-0.42288047	-0.36824897
11116.L20A072.1197129	-0.29750532	0.14771579	0.12255692	0.49117228	-0.2289075	0.35998422
11116.L25A090.1197313	0.017016912	0.101477295	-0.36664975	0.020321429	0.28262922	0.5633211
11116.A27B082.1195286	0.020226043	0.14567325	-0.23548715	0.10560317	0.3390959	0.67062306
11116.I28A083.1196054	-0.120136455	-0.1920927	-0.15182172	-0.069476664	0.3431074	0.4229242
11116.I29A120.1196473	0.23524784	0.07412374	-0.12796517	0.32657933	0.45135486	0.5926019
11116.L17A098.1196170	0.08786376	0.10385358	-0.3642038	0.013184379	0.37930992	0.5537639
11116.I06A086.1197790	-0.04925416	-0.13183415	-0.25829867	-0.030809779	0.2948392	0.39043462
11116.A05B064.1196973	0.2565957	0.63430226	-0.018688973	-0.37029088	-0.42460653	-0.17904104
11116.L11A077.1194677	-0.3141439	0.11613475	0.20997572	0.36416918	-0.16805941	0.26971045
11116.L16A084.1196445	-0.042868398	0.072502784	-0.32429734	0.13451044	0.28764617	0.69619626
11116.L10A091.1195007	-0.050682444	0.074879356	-0.32924885	-0.047923654	0.21867098	0.5190392
11116.L21A077.1193938	-0.28777578	0.06853282	0.21869573	0.3231758	-0.10407388	0.15117586
11116.I21A096.1193817	0.063716695	-0.13736518	-0.3442346	-0.03150338	0.28301936	0.38335192
11116.I13A078.1197328	-0.38170668	-0.34388003	-0.033584055	0.45365545	-0.13414139	-0.18578202
11116.I18A099.1195841	0.08154667	-0.076508455	-0.3969404	-0.03907728	0.27752382	0.442626
11116.L23A094.1195030	-0.069544226	0.06456554	-0.37784725	-0.09305259	0.20963739	0.5222252
11116.I26A105.1194393	0.0076182187	-0.036330935	-0.39982316	-0.035750285	0.28010547	0.4727506
11116.L04A094.1196377	-0.10132837	0.050570652	-0.3765932	-0.1291223	0.18035083	0.5065057
11116.L32A101.1195365	0.16205782	0.19105683	-0.30662107	0.21877399	0.5070023	0.6169214
11116.A10D085.1193664	0.13228284	0.21143831	-0.33414334	-0.17657104	0.31722626	0.77343833
11116.I20A065.1197929	0.1313407	-0.03544456	-0.48511052	0.38319945	-0.33235288	-0.3422141
11116.I05A118.1194233	0.2217595	0.049633667	-0.17010404	0.3517161	0.47137353	0.5792181
11116.L09A066.1196076	0.10003417	0.33476406	-0.21666871	0.4082872	-0.41139746	-0.21139087
11116.I19A098.1194505	0.038464926	-0.008109443	-0.4045033	-0.057681236	0.28418228	0.51684994
11116.A06A076.1193863	-0.28287318	0.37237006	0.41851074	-0.39113653	-0.063229665	0.21920861
11116.U477A63.1197639	0.46910614	-0.17977239	-0.39206755	0.3235202	0.41930872	0.23349768
11116.A21B097.1198404	0.11189206	0.27166983	-0.4381928	-0.27799848	0.39596117	0.8286827
11116.I09A071.1195898	-0.30458215	-0.34305942	0.07116156	0.4045909	0.14915173	-0.122252814
11116.I20A086.1195931	-0.046769265	-0.044002816	-0.27438137	-0.02585109	0.28598028	0.47613662
11116.A12C103.1196971	0.14652747	0.28106058	-0.42828965	-0.3181765	0.38192683	0.8399466
11116.L03A068.1194466	-0.029914806	0.16848251	-0.0254825	0.54027843	-0.10655315	0.33176714
11116.L27A118.1197503	0.36762515	0.14222197	-0.021712791	0.28051838	0.65640503	0.5225246
11116.I07A081.1198376	-0.2629622	-0.40741995	0.1736375	0.31882915	0.10082224	-0.19929257
11116.I03A118.1195197	0.29381135	0.17384538	-0.13885483	0.29194483	0.45882764	0.67183715
11116.I26A093.1197054	-0.05641679	-0.060049366	-0.29162514	-0.010990295	0.28228787	0.44282925
11116.I04A075.1196401	-0.3540828	-0.43917283	-0.033369154	0.4678147	-0.01977579	-0.17150961
11116.L09A078.1195117	-0.324569	0.12608616	0.19438085	0.396039	-0.17795737	0.3696248
11116.I15A101.1196613	0.108256064	0.1480475	-0.38779318	0.03661604	0.4182841	0.7677191
11116.A05C064.1198397	0.29945955	0.54233724	-0.10578373	-0.24882738	-0.42610747	-0.09849675
