	loss	val_loss	n_iter
10-5-10-20	0.00280203425473	0.00288459885172	10000
10-5-10-50	0.000708256571441	0.000830868798102	1811
10-5-10-100	0.00280234831035	0.00288466529617	10000
10-5-100-200	0.000674319777354	0.000825114757212	741
10-5-100-500	0.000653445863093	0.000769107678613	671
10-5-100-1000	0.000603869657441	0.000757811611063	687
10-6-50-100	0.000578614166636	0.000771294522836	1271
10-6-50-250	0.000647091268246	0.000746286695357	831
10-6-50-500	0.000614391921149	0.000762779156537	898
10-6-100-200	0.000570817403442	0.000747415044096	969
10-6-100-500	0.000540094684352	0.000669070270703	741
10-6-100-1000	0.000530021652421	0.000696744460093	735
