"row.names(data_code)"	"id"	"code"	"nocode"
"1"	1000876	0.000101441182073027	0.000206632944800423
"2"	100640	1.69121315563946e-05	-2.8808750213774e-06
"3"	100737	0.0018266782574488	0.0020110974878795
"4"	1008533	0.000705031104755782	0.0004573103368011
"5"	1009440	3.0911463855688e-05	-1.504162784704e-06
"6"	1011958	2.4143879406956e-05	2.79138200188848e-05
"7"	1012668	5.4526680476983e-05	5.7394753441669e-05
"8"	1015017	2.2975203010591e-05	1.3986535617778e-05
"10"	1016118	3.8041284024591e-05	5.1976399578127e-05
"11"	1017063	1.9511176390662e-07	-1.0223614539034e-07
"12"	1019914	0.000234000463065102	-7.087437338204e-05
"13"	102024	0.000339922683698834	-0.000158881017118684
"15"	1020921	5.91847390741802e-06	1.31607208150002e-07
"16"	1021984	0.0010823164381684	-0.00015852706497439
"17"	1024056	8.9894900269213e-07	-3.4147369133007e-07
"20"	1032653	1.5166244335909e-06	-1.4455694270859e-06
"22"	1037355	6.9996933673539e-05	6.60259614965034e-07
"23"	103869	2.219083460094e-05	-3.1931279335724e-05
"24"	1038987	1.11201235476775e-05	4.39536485064998e-08
"25"	1042519	0.00152982844182158	0.00052374219486951
"26"	1042671	1.7356561219347e-07	2.97270338157119e-07
"27"	1044436	0.00078127863518992	-0.0005471322753444
"29"	1048878	7.24825583956302e-08	-2.5937613532399e-07
"31"	105113	0.0282013978714791	0.0202915109577968
"33"	1051517	6.5951848582014e-06	-1.4337414886653e-06
"34"	1052235	6.1436036094553e-05	4.5176766712265e-05
"35"	1052559	8.79405299834301e-07	-1.4652323388342e-06
"37"	1053194	0.00041424723833303	-2.421290962395e-05
"41"	1059762	7.96131989473398e-06	2.45201576458984e-07
"43"	1060517	0.00141989071682224	4.29504554884698e-05
"45"	1068155	8.5088103076052e-05	8.2460900378097e-05
"46"	1068902	1.6825256126824e-06	3.1248253382073e-06
"48"	1069213	8.95691386020001e-06	2.2979262665446e-05
"52"	1072673	4.16603600862716e-05	3.58037340474014e-05
"54"	1074016	0.000452596601681116	9.98433977893798e-05
"55"	107428	0.00019472391467503	4.9835903200357e-05
"59"	1081222	9.5973979160802e-06	-0.000102199498900546
"60"	1081489	0.00155990475618973	-0.0042562476410367
"64"	1084157	1.2697479223558e-06	9.951494005009e-07
"65"	1087325	2.5468189279978e-07	-5.60051397795508e-08
"66"	1087471	8.0422195518761e-05	7.6654743304799e-05
"67"	1088120	3.8303775821769e-06	-1.668401177529e-06
"68"	1093690	5.4081228540132e-05	8.98472244243399e-06
"69"	1094453	0.00324852517059423	0.0027756628404239
"71"	1098922	9.4215604116399e-06	1.12364181558969e-05
"73"	110321	4.5306921219523e-06	-2.80711607070564e-05
"77"	1105574	0.000142003464033199	-0.000707924805619899
"83"	1106748	0.00038370529416573	0.000480767268594818
"84"	1106796	0.0087081055589602	0.0020456888332881
"88"	1107346	0.00014789907634499	3.9159479245232e-05
"89"	1107637	6.56059612302467e-05	6.177403790177e-06
"90"	1107738	1.53667005192491e-06	-5.63203303972894e-08
"91"	1108431	6.8411500158006e-05	2.6751775903684e-05
"92"	1108483	0.00107530586740749	0.00050379336560227
"93"	1108685	5.6474757802662e-06	2.0306023381613e-06
"96"	1108960	0.00014715974646419	-6.31079377161102e-05
"97"	1109142	0.000236719316087305	0.000122017442269573
"98"	1110303	0.000220761883316875	-1.4998504691627e-05
"99"	1110625	0.000254309787344172	0.000123660765107491
"100"	1110836	0.00139401789053678	0.00016494984384587
"101"	1111883	0.00386268795850497	0.00321184521206148
"102"	1112326	4.3668650465122e-07	-1.7762563605165e-07
"103"	1115404	0.0002854994287386	0.00136170550202023
"104"	1116937	1.82428982278747e-06	4.6838051667983e-07
"106"	1121806	6.7621200913923e-07	-4.3837409934326e-07
"110"	112867	0.0161215096986282	0.0131019595712715
"111"	1129425	0.00215996006013527	0.00265852375522248
"112"	112949	2.29044069061207e-05	1.18990374592485e-05
"113"	112952	0.000105759140657893	3.0246078805196e-05
"114"	113004	0.00014106956500363	8.5428696852014e-05
"115"	1131545	1.9310737042073e-06	1.1597990295077e-06
"117"	113674	0.000431301811973269	0.000201427803422998
"119"	1142871	0.0141864200269461	0.0103319531765452
"120"	1144575	0.00017559428790365	-2.2838862422849e-05
"122"	130710	1.33355554445555e-05	8.76750667499151e-06
"123"	13332	1.9619989733019e-05	5.500304253362e-06
"124"	13568	2.6043965903694e-05	2.4075651455963e-05
"125"	136998	0.000149937453703723	0.000173263174935944
"128"	138920	6.68520053131625e-05	1.396562818438e-05
"129"	139405	2.1721527431961e-05	1.31544453849575e-05
"130"	141365	1.1449089176272e-06	-2.74470227377161e-06
"131"	142010	9.9332571140881e-07	-5.41841988927599e-08
"132"	142233	3.38469973882614e-05	-1.260113651389e-05
"133"	142247	0.0039472246765409	0.0010341312225616
