"id"	"tr1_mse"	"tr1_smape"	"tr2_mse"	"tr2_smape"	"diff_mse"	"diff_smape"	"group_mse"	"group_smape"	"Rank1"	"Rank2"	"Rank3"	"Rank4"	"Rank5"	"Rank6"	"Rank7"	"def_mse"	"def_smape"
"775560"	"3.12872244959533e-05"	"64.4058845939478"	"4.45831853324277e-05"	"67.0403465033388"	-1.32959608364744e-05	-2.63446190939099	"similar"	"better"	"k__Bacteria"	"p__Acidobacteria"	"c__PAUC37f"	"o__"	"f__"	"g__"	"s__"	"5.91006859673082e-05"	"73.0616931370714"
"778795"	"0.00210148054924441"	"52.3823785512468"	"0.00287375846087607"	"63.1891422047977"	-0.00077227791163166	-10.8067636535509	"better"	"better"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemmatimonadetes"	"o__"	"f__"	"g__"	"s__"	"0.00412201039035763"	"69.745685949382"
"778968"	"0.000151743611623413"	"47.1103918092826"	"0.000173417028774585"	"49.8559655883848"	-2.1673417151172e-05	-2.74557377910219	"similar"	"better"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Nocardioidaceae"	"g__"	"s__"	"0.00023935744498677"	"56.893551341566"
"780555"	"2.00684007512801e-05"	"78.8538535139201"	"1.99451157401547e-05"	"83.3246178167815"	1.232850111254e-07	-4.4707643028614	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas"	"s__"	"1.94289312163416e-05"	"79.8387809295394"
"783660"	"0.000194888730246942"	"62.0787726548661"	"0.000254347811154939"	"64.9677724675747"	-5.9459080907997e-05	-2.8889998127086	"similar"	"better"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Koribacteraceae"	"g__Candidatus Koribacter"	"s__"	"0.000309748166138162"	"69.2776869079571"
"78422"	"0.0123363673978661"	"51.4865060253664"	"0.0128282557026121"	"59.3569214918496"	-0.000491888304746	-7.87041546648319	"better"	"better"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	"f__Chitinophagaceae"	"g__"	"s__"	"0.0140200709205447"	"63.4138834774248"
"788268"	"2.7790669773752e-07"	"99.2755976765861"	"2.5548730480652e-07"	"99.1318496157992"	2.2419392931e-08	0.143748060786905	"similar"	"similar"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Cellulomonadaceae"	"g__Cellulomonas"	"s__"	"8.58187740989494e-08"	"99.8453614193755"
"788632"	"0.0029231166533617"	"57.409462945797"	"0.00376569015429606"	"67.3283789916461"	-0.00084257350093436	-9.9189160458491	"better"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Methylophilales"	"f__Methylophilaceae"	"g__"	"s__"	"0.00433256104670466"	"69.8402994481558"
"790384"	"3.27818556883421e-07"	"93.0115631344608"	"3.61133835550532e-07"	"93.9297902562106"	-3.3315278667111e-08	-0.918227121749794	"similar"	"similar"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Microbacteriaceae"	"g__"	"s__"	"2.20923767049422e-07"	"95.6071971040464"
"791738"	"1.39798059626647e-05"	"71.6400446624461"	"1.47365335647127e-05"	"76.8917759366939"	-7.56727602048001e-07	-5.2517312742478	"similar"	"better"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Comamonadaceae"	"g__"	"s__"	"1.47911421087324e-05"	"76.1572710862491"
"792574"	"2.12333281485671e-07"	"98.9459587176015"	"1.99412895330284e-07"	"99.1869273941159"	1.2920386155387e-08	-0.240968676514399	"similar"	"similar"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Pedosphaerae]"	"o__[Pedosphaerales]"	"f__"	"g__"	"s__"	"3.1362101564249e-08"	"99.8971873710637"
"792868"	"0.000551956949832091"	"93.5744325563251"	"0.000542831284539776"	"84.1503753547252"	9.12566529231496e-06	9.42405720159991	"similar"	"worse"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Oxalobacteraceae"	"g__"	"s__"	"0.000539874983101574"	"85.5799938599213"
"794280"	"3.60958569368468e-05"	"60.9559578647739"	"4.22391787697894e-05"	"64.7461291438028"	-6.1433218329426e-06	-3.7901712790289	"similar"	"better"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemm-1"	"o__"	"f__"	"g__"	"s__"	"5.77506037696938e-05"	"72.3548575494206"
"800292"	"1.82345973690962e-07"	"99.9182790268497"	"2.05039082291245e-07"	"99.9527607860566"	-2.2693108600283e-08	-0.0344817592068978	"similar"	"similar"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__"	"g__"	"s__"	"1.57865534291756e-08"	"99.998274969812"
"802011"	"0.00252570378749248"	"89.3249179080806"	"0.00230661736412016"	"88.6237124405544"	0.00021908642337232	0.701205467526194	"worse"	"similar"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Methylophilales"	"f__Methylophilaceae"	"g__"	"s__"	"0.00259417467409356"	"91.730650510583"
"806201"	"1.85268483556073e-07"	"99.2420702513565"	"2.03570682378615e-07"	"99.1477693531111"	-1.8302198822542e-08	0.0943008982453932	"similar"	"similar"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Phyllobacteriaceae"	"g__Mesorhizobium"	"s__"	"3.39154594960361e-08"	"99.7376376111637"
"807260"	"7.96589115608393e-05"	"50.8773574205529"	"8.96406012629384e-05"	"52.9989479638733"	-9.9816897020991e-06	-2.1215905433204	"similar"	"better"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__Pirellulales"	"f__Pirellulaceae"	"g__"	"s__"	"0.000117722036942042"	"60.4289416250514"
"808319"	"2.11476647894499e-07"	"99.0907185495374"	"1.90671287092325e-07"	"99.2637655185524"	2.0805360802174e-08	-0.173046969015004	"similar"	"similar"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__"	"g__"	"s__"	"3.58990527094433e-10"	"99.9133369035801"
