	loss	val_loss	n_iter
20-10-5-10	0.000788463529705	0.00085966719374	1778
50-10-5-10	0.00280189822095	0.00288458670988	10000
100-10-5-10	0.000791121068322	0.000888104850513	1925
20-10-5-100	0.00280260458876	0.00288468962102	10000
50-10-5-100	0.00280258958195	0.0028846875667	10000
100-10-5-100	0.000655579515832	0.000765991916739	1595
20-10-6-50	0.000635147727731	0.000742315641756	1310
50-10-6-50	0.00280233824324	0.00288464277874	10000
100-10-6-50	0.000567013877493	0.000719127613715	1819
20-10-6-100	0.00280259535857	0.00288469110681	10000
50-10-6-100	0.000608609410967	0.000722531652414	1320
100-10-6-100	0.000584485653694	0.000719966849605	1582
